EMD_CD,EMD_ENG_NM,EMD_KOR_NM
11710104,Songpa-dong,송파동
11710105,Seokchon-dong,석촌동
11710106,Samjeon-dong,삼전동
11710107,Garak-dong,가락동
11710108,Munjeong-dong,문정동
11710109,Jangji-dong,장지동
11710111,Bangi-dong,방이동
11710112,Ogeum-dong,오금동
11710113,Geoyeo-dong,거여동
11710114,Macheon-dong,마천동
11740101,Myeongil-dong,명일동
11740102,Godeok-dong,고덕동
11740103,Sangil-dong,상일동
11740105,Gil-dong,길동
11740106,Dunchon-dong,둔촌동
11740107,Amsa-dong,암사동
11740108,Seongnae-dong,성내동
11740109,Cheonho-dong,천호동
11740110,Gangil-dong,강일동
